name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
ラリー、ラリー,ラリー、ラリー,MAISONdes,2021-11-24,156300,49,0,1,0.699,0.0262,0.86,0.000297,0.0979,-5.375,0.0494,111.909,4,0.81
ドーパミント!,総合,東京事変,2021-12-21,160000,24,2,1,0.622,0.000183,0.905,0.141,0.142,-2.191,0.0387,118.989,4,0.595
星が泳ぐ,大人の涙,マカロニえんぴつ,2023-08-30,241073,49,0,1,0.565,0.0275,0.746,0.0,0.359,-5.034,0.0368,94.971,4,0.647
デジタルモグラ,魅力がすごいよ,ゲスの極み乙女,2014-09-18,217440,38,0,0,0.619,0.0136,0.776,0.0,0.333,-4.58,0.0499,140.063,4,0.586
月の椀,アダプト,サカナクション,2022-03-30,250000,48,2,0,0.773,0.068,0.604,9.26e-06,0.4,-5.369,0.057,132.021,4,0.869
アミ,アミ,ayaho,2022-05-22,169085,44,9,1,0.631,0.0109,0.856,9.44e-05,0.0383,-4.312,0.0632,165.028,4,0.747
ぐらでーしょん,恋愛至上主義,KANA-BOON,2023-06-14,197533,52,6,1,0.559,0.00927,0.887,0.0,0.111,-2.554,0.0347,144.933,4,0.82
ヒッチコック,負け犬にアンコールはいらない,ヨルシカ,2018-05-09,222813,66,1,1,0.547,0.285,0.796,1.05e-06,0.0487,-3.785,0.0368,169.901,4,0.797
群青日和,教育,東京事変,2004-11-25,213266,54,9,1,0.105,4.26e-05,0.96,0.269,0.0843,0.028,0.0629,180.798,4,0.333
あいうえ,あいうえ,MAISONdes,2022-09-14,60766,44,6,1,0.542,0.00546,0.986,0.00201,0.374,-3.214,0.0663,167.031,4,0.791
猟奇的なキスを私にして,魅力がすごいよ,ゲスの極み乙女,2014-09-18,237440,48,2,1,0.675,0.0372,0.702,0.0,0.052,-3.152,0.0418,137.989,4,0.835
蓮の花 -single version-,834.194,サカナクション,2019-06-19,285000,37,7,1,0.563,0.27,0.729,0.00323,0.138,-5.907,0.0342,105.986,4,0.462
花一匁,沈香学,ずっと真夜中でいいのに。,2023-06-06,250613,57,2,0,0.657,0.194,0.977,2.26e-06,0.216,-2.212,0.0803,127.036,4,0.893
ソングオブザデッド 3,ソングオブザデッド,KANA-BOON,2023-09-20,248186,34,7,1,0.341,0.0125,0.906,1.61e-05,0.434,-3.13,0.0626,170.03,4,0.477
春愁,"Love me, Love you",Mrs. GREEN APPLE,2018-02-14,183800,69,10,1,0.724,0.0121,0.444,0.0,0.123,-4.903,0.0412,129.962,4,0.739
今夜はから騒ぎ,color bars,東京事変,2012,222320,37,7,0,0.557,0.00128,0.785,0.0,0.119,-4.698,0.0278,132.982,4,0.831
愛を解く,色彩,yama,2022-11-09,181266,55,7,1,0.725,0.0347,0.818,0.000123,0.14,-4.201,0.0951,130.085,4,0.758
